p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,diffexpressed
0,1.98355373282092,0.106,0.017,0,CNTNAP5,MBM
0,1.7107909928775,0.809,0.576,0,LHFPL3-AS1,MBM
0,1.68778657524907,0.601,0.175,0,FKBP5,MBM
0,1.64991289893334,0.551,0.394,0,NRG3,MBM
0,1.51377147640933,0.55,0.387,0,MAP2,MBM
0,1.46958888344865,0.377,0.04,0,SAMHD1,MBM
0,1.40120572776394,0.664,0.234,0,MET,MBM
0,1.31318827824922,0.81,0.573,0,LHFPL3,MBM
0,1.30642951573457,0.6,0.305,0,AKAP12,MBM
0,1.26147250961281,0.784,0.467,0,HIPK2,MBM
0,1.23917024331933,0.859,0.511,0,MT-ND1,MBM
0,1.23755232818671,0.742,0.635,0,PMEL,MBM
0,1.21883678247224,0.437,0.224,0,ATRNL1,MBM
0,1.21535865631016,0.905,0.778,0,BNC2,MBM
0,1.17549375898241,0.389,0.168,0,ELOVL2,MBM
0,1.1507359082861,0.897,0.548,0,MT-ND3,MBM
0,1.13266515843181,0.725,0.462,0,ARID5B,MBM
0,1.11935986075284,0.632,0.414,0,ABTB2,MBM
0,1.11864245417548,0.275,0.081,0,COL25A1,MBM
0,1.10506414884567,0.795,0.446,0,MT-ND5,MBM
0,1.10275747794955,0.182,0.066,0,HPSE2,MBM
0,1.09777100596232,0.504,0.399,0,PRELID2,MBM
0,1.09716980559581,0.91,0.823,0,IMMP2L,MBM
0,1.0908389945528,0.34,0.129,0,XIST,MBM
0,1.08387235100238,0.922,0.557,0,MT-CO3,MBM
0,1.05341188394506,0.279,0.102,0,PPARGC1A,MBM
0,1.05062345464501,0.613,0.467,0,CCND3,MBM
0,1.04347285973597,0.877,0.53,0,MT-ND4,MBM
0,1.03386775595182,0.344,0.1,0,AC004889.1,MBM
0,1.02352014207758,0.399,0.266,0,ITPR1,MBM
0,1.00928750173296,0.577,0.287,0,ST3GAL1,MBM
0,1.00141318975167,0.752,0.469,0,TRPM1,MBM
0,0.99848318672714,0.503,0.266,0,MTSS1,MBM
0,0.995804242754636,0.685,0.508,0,DAAM2,MBM
0,0.986271594380566,0.793,0.698,0,POLR2F,MBM
0,0.981283357010728,0.349,0.166,0,EYA1,MBM
0,0.979759743298576,0.358,0.189,0,AL157871.4,MBM
0,0.976430402934932,0.901,0.55,0,MT-CO1,MBM
0,0.976306647591822,0.572,0.28,0,CDH1,MBM
0,0.972493310539513,0.823,0.623,0,MLPH,MBM
0,0.966300554213548,0.622,0.506,0,GAS7,MBM
0,0.965945958829246,0.266,0.083,0,NIBAN1,MBM
0,0.962384090171488,0.225,0.086,0,RASGRP3,MBM
0,0.95824318683199,0.349,0.135,0,AC009562.1,MBM
0,0.954303109064851,0.26,0.093,0,ANKRD30B,MBM
0,0.948662415322911,0.585,0.325,0,KCNQ5,MBM
0,0.9429373073797,0.896,0.542,0,MT-ATP6,MBM
0,0.938031378468265,0.698,0.438,0,PLEKHA2,MBM
0,0.924235272383815,0.251,0.042,0,SLC5A4-AS1,MBM
0,0.916146245137963,0.622,0.436,0,GYG2,MBM
0,0.913811055083998,0.499,0.302,0,WARS,MBM
0,0.909046252848761,0.145,0.026,0,ABCA6,MBM
0,0.902835887064272,0.896,0.545,0,MT-CO2,MBM
0,0.898842213343833,0.441,0.267,0,CADPS2,MBM
