ID,logFC,AveExpr,t,P.Value,adj.P.Val
GFAP,7.19059224597045,0.737827319681547,13.5814679508172,2.82E-20,8.94E-16
CCL21,-5.6422475814311,-2.52780633049681,-9.83350247004531,2.73E-14,4.32E-10
HBA1,4.30606288206175,2.82233562040104,8.28685626105383,1.22E-11,1.11E-07
HBB,4.16121211865265,5.62659278815882,8.25257293679977,1.40E-11,1.11E-07
SULF1,-2.08623507624299,5.56022777643957,-8.16530172105581,1.99E-11,1.25E-07
RARRES2,-2.66853870911418,0.312121820119535,-8.12258922819224,2.36E-11,1.25E-07
FNDC1,-3.21306683653655,1.60050532784122,-8.03006667766165,3.42E-11,1.53E-07
HBA2,3.8683045577988,4.94231634042916,8.00015680418045,3.85E-11,1.53E-07
ITIH2,2.27003642544427,2.19789627230026,7.59530537731839,1.95E-10,6.87E-07
FGF7,-2.72907519545576,1.62300736979897,-7.50456320006245,2.81E-10,8.90E-07
COL6A3,-1.60868500068892,7.54533313933359,-7.21203358347827,9.05E-10,2.61E-06
MXRA5,-2.18949114727647,4.76163664476391,-7.17750860452823,1.04E-09,2.71E-06
SLC1A2,3.08585072478446,0.195126300583334,7.16037507516526,1.11E-09,2.71E-06
CTNND2,3.77056109161311,-0.171838098845206,6.90993709712314,3.02E-09,6.85E-06
SPON1,-2.15694344916925,1.67405062397149,-6.89064137414339,3.27E-09,6.90E-06
FUT9,3.19480960196315,-4.35354972671503,6.81580367473579,4.40E-09,8.72E-06
CCL11,-3.97559010315938,-4.82945794449853,-6.70571435033353,6.82E-09,1.27E-05
ZIC2,3.28426015982658,-0.879075999944165,6.60617128238129,1.01E-08,1.78E-05
CRISPLD2,-1.3650317423966,3.14676649371802,-6.59230101393565,1.07E-08,1.79E-05
SVEP1,-1.63136004505046,3.70879942811772,-6.54697725513209,1.28E-08,2.03E-05
DPT,-3.95176697266585,-2.28467318404312,-6.51686384014834,1.44E-08,2.18E-05
LUM,-2.06181521420657,4.25589943160313,-6.4882301308299,1.61E-08,2.33E-05
VSIG4,1.59639559683469,4.52076515234624,6.33407334310047,2.97E-08,4.05E-05
PPBP,4.0812932005609,-1.06705885776122,6.31853179829018,3.16E-08,4.05E-05
NTRK3,2.65560225505789,1.12693200673695,6.3153019643849,3.20E-08,4.05E-05
HMCN2,-2.89725676727057,-0.855378489380656,-6.26308781122484,3.93E-08,4.79E-05
SLIT2,-1.32813246304883,4.11884208165365,-6.14017881095335,6.36E-08,7.47E-05
SLC7A14,3.28406627199143,-1.34433049185696,6.10847406862529,7.20E-08,7.97E-05
CDH20,3.03742778278656,-1.36959587923643,6.1053470226108,7.29E-08,7.97E-05
FMOD,-1.86328346929236,0.486427590729103,-6.06748694487079,8.45E-08,8.94E-05
HBD,3.65583337584939,-2.62426003105745,6.01717046092735,1.03E-07,0.000103266469784
COL15A1,-1.23297361114852,5.46284483352029,-6.01389433723826,1.04E-07,0.000103266469784
PTGER3,-3.42114283475561,-2.33304989330503,-5.93918089050123,1.39E-07,0.000133968304173
COMP,-4.22344238745477,-1.31817681827393,-5.89437042392777,1.66E-07,0.000154767244716
AQP4,3.24271705166862,-0.062540709358551,5.87446634359579,1.79E-07,0.0001624224179
PF4,3.36709366189603,-3.40137230085949,5.83896939417027,2.06E-07,0.000181212563285
SCG2,1.39902713519674,2.90780276322506,5.81149438530336,2.29E-07,0.000196108641097
NCAN,3.12485325592781,-2.60787473260501,5.75739804833969,2.82E-07,0.000235362120573
SLC30A10,2.98344153119168,-3.42268483033575,5.71196643836114,3.36E-07,0.000263997972613
STXBP5,0.58630781750256,7.87126606089987,5.7087928129507,3.40E-07,0.000263997972613
HAPLN2,2.64910544078343,-3.1298432322547,5.70792887203253,3.41E-07,0.000263997972613
H19,-2.10936222597757,4.42888004816125,-5.67519817068512,3.87E-07,0.000292320315529
ABCC9,-1.12039292977349,4.00690641738565,-5.66215032401128,4.07E-07,0.000300214641582
