Gene,Function
CCL19,immune response
MEOX2,transcription
CCL21,immune response
CLEC10A,immune response
IGF1,cell growth
SLC12A3,immune response
SIGLEC6,immune response
COMP,cell adhesion
HSD11B1,metabolism
GPR68,signal transduction
STAB2,transcription
FGF7,cell growth
DPT,cell adhesion
FNDC1,other/unknown
GREM1,cell growth
CD8B,immune response
LTB,immune response
CD38,immune response
TNFRSF17,immune response
CD79A,immune response
PLA2G2D,immune response
RARRES1,metabolism
ADRA1A,cell growth
TNNT3,muscle movement
SULF1,cell growth
RBP5,transport
RSPO3,cell growth
VWDE,other/unknown
TDO2,metabolism
CD1C,immune response
NPY1R,signal transduction
LOXHD1,signal transduction
RASSF6,apoptosis
LRRC15,cell migration
DES,muscle movement
CCBE1,cell migration
KRT5,immune response
PLA2G2A,metabolism
PAX5,transcription
EGFL6,cell growth
MUSK,muscle movement
LAMA3,cell migration
LAMP3,immune response
P2RY10,signal transduction
TBX5,transcription
IL2RB,immune response
CHRDL1,differentiation
CCL2,immune response
CCL8,immune response
KLRB1,immune response
ANGPTL1,cell growth
ST6GALNAC5,metabolism
CD48,immune response
TNFSF11,cell growth
LAX1,immune response
COL10A1,metabolism
RGS13,signal transduction
IGJ,immune response
KRT7,other/unknown
CILP,signal transduction
AMIGO2,cell adhesion
STAC,signal transduction
MS4A1,immune response
FCRL1,cell growth
SVEP1,cell adhesion
RIC3,transport
CD3D,immune response
SCNN1B,transport
CXCL11,immune response
COL6A5,other/unknown
TLR10,immune response
P2RY14,signal transduction
GPBAR1,signal transduction
TMEM119,differentiation
PKHD1L1,immune response
ITIH2,metabolism
GAP43,cell growth
PAX6,transcription
GFAP,transport
ZIC2,transcription
TUBB1,cell growth
SLC52A3,transport
FMN2,apoptosis
SLC24A2,transport
HEPACAM,cell growth
SLC38A11,transport
FOXC2,transcription
OR7A5,signal transduction
C2orf72,other/unknown
MOG,cell adhesion
ATP1A2,transport
SNCB,signal transduction
SCG3,cell growth
LGI1,cell growth
MAPK4,cell growth
PMP2,transport
PPBP,cell growth
RANBP3L,differentiation
CYP4F11,metabolism
CNTN2,cell adhesion
GLDN,cell adhesion
CYP4F3,metabolism
RP11-986E7.7,other/unknown
